what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1460950282343
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1460950287234
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1460950288546
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460950297640
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460950301671
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1460950303093
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460950304328
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460950312093
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1460950326640
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460950337156
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460950362765
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1460950369015
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460950371375
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460950377140
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1460950380640
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1460950383109
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1460950386000
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1460950386859
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460950387796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460950390156
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1460950402312
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460950409703
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460950420718
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1460950425765
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1460950429281
