what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1460954991359
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460955011437
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460955013546
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460955016671
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460955017406
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1460955019750
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460955028250
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460955036921
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1460955043187
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1460955047515
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1460955054921
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460955057796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460955064656
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1460955068453
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460955082156
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460955085578
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1460955092109
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1460955093484
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460955096937
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1460955110375
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1460955163656
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1460955167468
activated,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1460955169250
executed,command,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.stop",1460955178859
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1460955179437
